"","ctime","intertime","cwma","ratecat"
"1447",1397181600,0,464.516129032258,"l"
"1448",1397181900,300,474.193548387097,"m"
"1449",1397182140,240,481.935483870968,"m"
"1450",1397182200,60,483.870967741935,"m"
"1451",1397182800,600,474.193548387097,"m"
"1452",1397183700,900,474.193548387097,"m"
"1453",1397185200,1500,522.58064516129,"h"
"1454",1397185200,0,503.225806451613,"l"
"1455",1397185200,0,464.516129032258,"l"
"1456",1397185200,0,464.516129032258,"l"
"1457",1397185500,300,474.193548387097,"m"
"1458",1397186280,780,464.516129032258,"m"
"1459",1397186400,120,460.645161290323,"m"
"1460",1397187600,1200,483.870967741935,"m"
"1461",1397188800,1200,522.58064516129,"m"
"1462",1397188800,0,522.58064516129,"l"
"1463",1397189040,240,530.322580645161,"m"
"1464",1397189700,660,551.612903225806,"m"
"1465",1397190540,840,520.645161290323,"m"
"1466",1397190600,60,522.58064516129,"m"
"1467",1397191980,1380,538.064516129032,"h"
"1468",1397192400,420,551.612903225806,"m"
"1469",1397193600,1200,522.58064516129,"m"
"1470",1397194800,1200,541.935483870968,"m"
"1471",1397196000,1200,541.935483870968,"m"
"1472",1397196000,0,522.58064516129,"l"
"1473",1397196060,60,524.516129032258,"m"
"1474",1397196060,0,505.161290322581,"l"
"1475",1397197020,960,530.322580645161,"m"
"1476",1397199000,1980,561.290322580645,"h"
"1477",1397199600,600,580.645161290323,"m"
"1478",1397203200,3600,696.774193548387,"h"
"1479",1397203320,120,690.967741935484,"m"
"1480",1397204340,1020,716.129032258065,"m"
"1481",1397206500,2160,783.870967741935,"h"
"1482",1397207700,1200,803.225806451613,"m"
"1483",1397208960,1260,814.838709677419,"h"
"1484",1397212200,3240,870.967741935484,"h"
"1485",1397213100,900,900,"m"
"1486",1397214000,900,929.032258064516,"m"
"1487",1397214000,0,929.032258064516,"l"
"1488",1397214900,900,948.387096774194,"m"
"1489",1397216700,1800,981.290322580645,"h"
"1490",1397216820,120,981.290322580645,"m"
"1491",1397217600,780,967.741935483871,"m"
"1492",1397219400,1800,987.096774193548,"h"
"1493",1397223000,3600,1103.22580645161,"h"
"1494",1397223000,0,1095.48387096774,"l"
"1495",1397223000,0,1074.1935483871,"l"
"1496",1397223900,900,1076.12903225806,"m"
